Timestamp,Your Phone,Your 4 digit ID,Quantity,Location,Measurement Value (db or lux)
1/22/2020 8:21:29,Android (all models),6520,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",78
1/22/2020 8:22:59,Android (all models),6520,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),66.5
1/22/2020 10:35:27,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",breakfast table,69
1/22/2020 10:46:30,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,56.1
1/22/2020 11:07:46,iPhone (all models),9849,"Sound pressure level, SPL(dBA)",In class (on writing desk),65.8
1/22/2020 14:12:25,iPhone (all models),6818,"Sound pressure level, SPL(dBA)",In class (on writing desk),56.7
1/22/2020 15:37:33,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",In class (on writing desk),60.2
1/22/2020 15:53:52,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),49.9
1/22/2020 15:56:36,iPhone (all models),9848,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",81.4
1/22/2020 15:57:47,iPhone (all models),9848,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",75.4
1/22/2020 15:58:14,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),68.1
1/22/2020 16:01:34,iPhone (all models),6818,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),50.6
1/22/2020 16:01:51,iPhone (all models),6818,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",85
1/22/2020 16:02:12,iPhone (all models),6818,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",84.1
1/22/2020 16:02:29,iPhone (all models),6818,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),71.6
1/22/2020 16:02:41,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",GIX Woodshop: No machines (SPL only),50.6
1/22/2020 16:03:01,iPhone (all models),5247,"Sound pressure level, SPL(dBA)","GIX Woodshop: Table Saw cutting (lux on table top, SPL from operating position)",81.3
1/22/2020 16:03:16,iPhone (all models),5247,"Sound pressure level, SPL(dBA)","GIX Woodshop: Dust Collector  (SPL Only, measure from table saw operating pos.)",83.5
1/22/2020 16:03:28,iPhone (all models),5247,"Sound pressure level, SPL(dBA)",GIX Woodshop: Drill (SPL Only from omerating position),70.7
1/22/2020 17:11:06,Android (all models),6046,Light Flux,In class (on writing desk),846
1/22/2020 19:35:12,iPhone (all models),6818,"Sound pressure level, SPL(dBA)",Outdoors by GIX: Cloudy,56.9
1/22/2020 23:12:50,iPhone (all models),1037,Light Flux,your bed at night,1
1/23/2020 3:41:23,iPhone (all models),0987,Light Flux,your bed at night,1.3
1/23/2020 7:37:01,Android (all models),6520,"Sound pressure level, SPL(dBA)",Starbucks at a table,62.3
1/23/2020 9:35:43,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",On a bus (while bus is stopped),58
1/23/2020 9:36:08,iPhone (all models),9848,"Sound pressure level, SPL(dBA)",On a bus (Highway speed),68
1/23/2020 9:50:54,Android (all models),6520,"Sound pressure level, SPL(dBA)",In class (on writing desk),49.4
1/23/2020 10:32:45,iPhone (all models),0987,Light Flux,breakfast table,70
1/23/2020 10:48:28,iPhone (all models),5103,"Sound pressure level, SPL(dBA)",In class (on writing desk),50.5
1/23/2020 11:08:49,iPhone (all models),0987,Light Flux,In class (on writing desk),231
1/23/2020 11:15:07,iPhone (all models),0987,Light Flux,Outdoors by GIX: Cloudy,256
